Conference,Paper Title,Author Names
InfoVis,Voyager: Exploratory Analysis via Faceted Browsing of Visualization Recommendations,"Howe, B."
InfoVis,Voyager: Exploratory Analysis via Faceted Browsing of Visualization Recommendations,"Moritz, D."
SciVis,Accurate Interactive Visualization of Large Deformations and Variability in Biomedical Image Ensembles,"Klein, R."
SciVis,Accurate Interactive Visualization of Large Deformations and Variability in Biomedical Image Ensembles,"Schultz, T."
SciVis,Accurate Interactive Visualization of Large Deformations and Variability in Biomedical Image Ensembles,"Hermann, M."
SciVis,Accurate Interactive Visualization of Large Deformations and Variability in Biomedical Image Ensembles,"Schunke, A.C."
SciVis,Adaptive Multilinear Tensor Product Wavelets,"Lindstrom, P."
SciVis,Adaptive Multilinear Tensor Product Wavelets,"Weiss, K."
SciVis,AnimoAminoMiner: Exploration of Protein Tunnels and their Properties in Molecular Dynamics,"Kozlikova, B."
SciVis,AnimoAminoMiner: Exploration of Protein Tunnels and their Properties in Molecular Dynamics,"Byska, J."
SciVis,AnimoAminoMiner: Exploration of Protein Tunnels and their Properties in Molecular Dynamics,"Gröller, M.E."
SciVis,AnimoAminoMiner: Exploration of Protein Tunnels and their Properties in Molecular Dynamics,"Viola, I."
SciVis,AnimoAminoMiner: Exploration of Protein Tunnels and their Properties in Molecular Dynamics,"Le Muzic, M."
SciVis,Anisotropic Ambient Volume Shading,"Ament, M."
SciVis,Anisotropic Ambient Volume Shading,"Dachsbacher, C."
SciVis,Association Analysis for Visual Exploration of Multivariate Scientific Data Sets,Han-Wei Shen
SciVis,Association Analysis for Visual Exploration of Multivariate Scientific Data Sets,Xiaotong Liu
SciVis,CAST: Effective and Efficient User Interaction for Context-Aware Selection in 3D Particle Clouds,"Efstathiou, K."
SciVis,CAST: Effective and Efficient User Interaction for Context-Aware Selection in 3D Particle Clouds,"Isenberg, T."
SciVis,CAST: Effective and Efficient User Interaction for Context-Aware Selection in 3D Particle Clouds,Lingyun Yu
SciVis,CAST: Effective and Efficient User Interaction for Context-Aware Selection in 3D Particle Clouds,"Isenberg, P."
SciVis,Cluster Analysis of Vortical Flow in Simulations of Cerebral Aneurysm Hemodynamics,"Cebral, J.R."
SciVis,Cluster Analysis of Vortical Flow in Simulations of Cerebral Aneurysm Hemodynamics,"Oeltze-Jafra, S."
SciVis,Cluster Analysis of Vortical Flow in Simulations of Cerebral Aneurysm Hemodynamics,"Preim, B."
SciVis,Cluster Analysis of Vortical Flow in Simulations of Cerebral Aneurysm Hemodynamics,"Janiga, G."
SciVis,Diderot: a Domain-Specific Language for Portable Parallel Scientific Visualization and Image Analysis,"Seltzer, N."
